Filename	Vowel	Begin Time (s)	End Time (s)	Duration (ms)	IntMin	IntMinTime	IntMax	IntMaxTime	IntMean	F0 25%	F0 50%	F0 75%	F1 25%	F1 50%	F1 75%	F2 25%	F2 50%	F2 75%	F3 25%	F3 50%	F3 75%	Analyst	Date	Settings	Praat Version	OS
1429_sentences	11110	228.53667910388722	228.5854517387544	48.77263486716288	76.24984392890485	228.56619047619049	77.04212321761861	228.55522837607555	76.40560999142126	107.02454755317684	110.37840307174537	110.69638026400466	431.6341293340984	434.10827207511926	455.1503557032479	2099.424091350514	2179.604193847637	2270.2913245059467	2968.2245861641786	3159.562878481438	3293.3459664863108	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1429_sentences	11120	230.38761549074653	230.42865587015075	41.04037940422245	78.97106418756057	230.41619047619048	79.72387795011853	230.40732623053455	79.2217128541385	109.57489110801508	107.91673347450413	107.81957280670467	724.2906081783984	730.5274803258634	797.4380431537951	973.835927110953	1006.6573225959958	1014.2413355167374	2358.840987918445	2335.8890657202905	2471.8094575511145	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1429_sentences	12219	238.44694110132008	238.47892420577224	31.983104452166344	77.99555902224867	238.4661904761905	79.02608183174502	238.45547386998047	78.15737327156494	117.43384256318869	117.0288834006163	115.67815666417916	574.5280169597984	628.5059403935535	696.0863809241717	934.0771046001013	920.8913018880078	937.6180320339912	2323.660713533896	2287.1431343298023	2705.9797607831397	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1429_sentences	21104	240.4719979564249	240.5926825455438	120.68458911889479	75.5238032603299	240.50619047619048	76.91483541255288	240.54377143385295	76.23779178133478	113.5652871544949	110.11050850607867	112.09161040588458	367.2975884666675	433.42029954856866	444.7505521179788	2379.128544262729	2227.3992466411337	2270.0237486879455	2606.9119150221163	2880.7537276900784	3107.8600768561514	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1429_sentences	22207	242.6250150274961	242.75408397446475	129.06894696865834	74.96960588613443	242.7161904761905	76.77643353860222	242.68327661031717	76.2563014231068	110.84620610114584	109.6839115070681	112.1296945612214	500.9143297975545	533.184803208584	498.06115825190477	1010.9206721084829	992.3435666051781	1144.7944275009984	3185.4314347959635	2995.1981727645116	2344.4577492897347	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1429_sentences	11117	244.64009343686593	244.7087913984324	68.69796156647112	75.82184094841753	244.6861904761905	76.88732628882353	244.66661170951326	76.36925323726943	104.42861723482427	104.04754069698427	104.17070257870935	582.781423512554	591.2242011038901	596.1365845615312	1166.9667829075263	1226.282217831756	1346.4554600634604	2753.587484085582	3004.0953954478196	3419.243791790627	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1429_sentences	11106	246.60219818941727	246.65615881602662	53.96062660935286	72.26883687519313	246.61619047619047	73.16489626586085	246.63204094533944	72.80587040088805	120.57518064690854	118.22330068207458	115.12419993449016	403.11862164944085	457.38546237851824	388.50679344347043	2159.587804653363	2126.1111906893875	1987.6750836173549	3317.984944535964	3217.1053887005874	2852.7704197072107	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1429_sentences	22013	248.60283918245543	248.73590624395513	133.06706149970182	72.93484706347725	248.69619047619048	77.8024182742695	248.63619047619048	75.07174202911287	106.9355035779617	104.08100031775706	104.27870496179305	765.5625788066013	871.5434842964861	742.9215430175659	1087.2251511942286	1150.6264825199103	1250.8878479036425	3201.978446305459	2319.8889171226842	2230.882721066642	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	22103	15.010910644436366	15.117835815289855	106.92517085348818	81.11691166885493	15.084217687074855	81.54056007561763	15.056674243067576	81.35112269951964	175.8587169405522	175.36877676401653	175.0159502830387	624.1928451242304	634.6087047896121	601.292201569768	1273.3044277181277	1319.4844149955966	1358.6287824005437	3451.624793976948	3393.5937596273966	3384.415238559622	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
1430_sentences	11106	17.377947980023965	17.449348201700136	71.40022167617133	79.86914269483894	17.42421768707485	80.43182194900234	17.408113280258423	80.08250359933896	191.81788150046324	188.46183910395732	188.263432683372	446.2728291382178	467.29775466323935	413.0826161734745	2036.2711634757109	1990.3573356414715	1848.012031350791	3231.2238345240153	3237.2754815736907	3131.516925488081	jrm	Wed Jul 30 16:40:06 2014	Max formant: 5500 Hz, Number of formants: 4, Window length: 0.025 s	5.3.16	Linux
